,layer_name,sample_id,num_of_injection,misclassifications,fault_tollerance
0,classes_conv2d,0,100,12,False
1,classes_conv2d,1,100,11,False
2,classes_conv2d,2,100,6,False
3,classes_conv2d,3,100,10,False
4,classes_conv2d,4,100,8,False
5,classes_conv2d,5,100,10,False
6,classes_conv2d,6,100,9,False
7,classes_conv2d,7,100,12,False
8,classes_conv2d,8,100,16,False
9,classes_conv2d,9,100,11,False
10,classes_conv2d,10,100,14,False
11,classes_conv2d,11,100,11,False
12,classes_conv2d,12,100,14,False
13,classes_conv2d,13,100,4,False
14,classes_conv2d,14,100,15,False
15,classes_conv2d,15,100,100,False
16,classes_conv2d,16,100,6,False
17,classes_conv2d,17,100,7,False
18,classes_conv2d,18,100,7,False
19,classes_conv2d,19,100,11,False
20,classes_conv2d,20,100,8,False
21,classes_conv2d,21,100,11,False
22,classes_conv2d,22,100,13,False
23,classes_conv2d,23,100,9,False
24,classes_conv2d,24,100,7,False
25,classes_conv2d,25,100,11,False
26,classes_conv2d,26,100,9,False
27,classes_conv2d,27,100,11,False
28,classes_conv2d,28,100,11,False
29,classes_conv2d,29,100,11,False
30,classes_conv2d,30,100,11,False
31,classes_conv2d,31,100,8,False
32,classes_conv2d,32,100,11,False
33,classes_conv2d,33,100,11,False
34,classes_conv2d,34,100,8,False
35,classes_conv2d,35,100,5,False
36,classes_conv2d,36,100,7,False
37,classes_conv2d,37,100,11,False
38,classes_conv2d,38,100,8,False
39,classes_conv2d,39,100,9,False
40,classes_conv2d,40,100,9,False
41,classes_conv2d,41,100,17,False
42,classes_conv2d,42,100,9,False
43,classes_conv2d,43,100,8,False
44,classes_conv2d,44,100,12,False
45,classes_conv2d,45,100,7,False
46,classes_conv2d,46,100,13,False
47,classes_conv2d,47,100,5,False
48,classes_conv2d,48,100,12,False
49,classes_conv2d,49,100,13,False
50,classes_conv2d,50,100,10,False
51,classes_conv2d,51,100,6,False
52,classes_conv2d,52,100,4,False
53,classes_conv2d,53,100,8,False
54,classes_conv2d,54,100,8,False
55,classes_conv2d,55,100,9,False
56,classes_conv2d,56,100,10,False
57,classes_conv2d,57,100,15,False
58,classes_conv2d,58,100,5,False
59,classes_conv2d,59,100,9,False
60,classes_conv2d,60,100,5,False
61,classes_conv2d,61,100,8,False
62,classes_conv2d,62,100,5,False
63,classes_conv2d,63,100,8,False
64,classes_conv2d,64,100,14,False
65,classes_conv2d,65,100,13,False
66,classes_conv2d,66,100,8,False
67,classes_conv2d,67,100,8,False
68,classes_conv2d,68,100,13,False
69,classes_conv2d,69,100,13,False
70,classes_conv2d,70,100,17,False
71,classes_conv2d,71,100,11,False
72,classes_conv2d,72,100,11,False
73,classes_conv2d,73,100,15,False
74,classes_conv2d,74,100,11,False
75,classes_conv2d,75,100,12,False
76,classes_conv2d,76,100,6,False
77,classes_conv2d,77,100,11,False
78,classes_conv2d,78,100,14,False
79,classes_conv2d,79,100,13,False
80,classes_conv2d,80,100,11,False
81,classes_conv2d,81,100,9,False
82,classes_conv2d,82,100,11,False
83,classes_conv2d,83,100,12,False
84,classes_conv2d,84,100,7,False
85,classes_conv2d,85,100,7,False
86,classes_conv2d,86,100,10,False
87,classes_conv2d,87,100,9,False
88,classes_conv2d,88,100,14,False
89,classes_conv2d,89,100,10,False
90,classes_conv2d,90,100,14,False
91,classes_conv2d,91,100,12,False
92,classes_conv2d,92,100,8,False
93,classes_conv2d,93,100,8,False
94,classes_conv2d,94,100,9,False
95,classes_conv2d,95,100,11,False
96,classes_conv2d,96,100,10,False
97,classes_conv2d,97,100,14,False
98,classes_conv2d,98,100,11,False
99,classes_conv2d,99,100,10,False
100,classes_conv2d_1,0,100,13,False
101,classes_conv2d_1,1,100,11,False
102,classes_conv2d_1,2,100,9,False
103,classes_conv2d_1,3,100,10,False
104,classes_conv2d_1,4,100,11,False
105,classes_conv2d_1,5,100,19,False
106,classes_conv2d_1,6,100,11,False
107,classes_conv2d_1,7,100,13,False
108,classes_conv2d_1,8,100,12,False
109,classes_conv2d_1,9,100,14,False
110,classes_conv2d_1,10,100,18,False
111,classes_conv2d_1,11,100,12,False
112,classes_conv2d_1,12,100,16,False
113,classes_conv2d_1,13,100,17,False
114,classes_conv2d_1,14,100,14,False
115,classes_conv2d_1,15,100,99,False
116,classes_conv2d_1,16,100,13,False
117,classes_conv2d_1,17,100,6,False
118,classes_conv2d_1,18,100,9,False
119,classes_conv2d_1,19,100,20,False
120,classes_conv2d_1,20,100,14,False
121,classes_conv2d_1,21,100,13,False
122,classes_conv2d_1,22,100,11,False
123,classes_conv2d_1,23,100,10,False
124,classes_conv2d_1,24,100,14,False
125,classes_conv2d_1,25,100,8,False
126,classes_conv2d_1,26,100,9,False
127,classes_conv2d_1,27,100,10,False
128,classes_conv2d_1,28,100,8,False
129,classes_conv2d_1,29,100,10,False
130,classes_conv2d_1,30,100,10,False
131,classes_conv2d_1,31,100,13,False
132,classes_conv2d_1,32,100,13,False
133,classes_conv2d_1,33,100,7,False
134,classes_conv2d_1,34,100,9,False
135,classes_conv2d_1,35,100,11,False
136,classes_conv2d_1,36,100,9,False
137,classes_conv2d_1,37,100,13,False
138,classes_conv2d_1,38,100,11,False
139,classes_conv2d_1,39,100,12,False
140,classes_conv2d_1,40,100,13,False
141,classes_conv2d_1,41,100,13,False
142,classes_conv2d_1,42,100,12,False
143,classes_conv2d_1,43,100,11,False
144,classes_conv2d_1,44,100,10,False
145,classes_conv2d_1,45,100,9,False
146,classes_conv2d_1,46,100,7,False
147,classes_conv2d_1,47,100,6,False
148,classes_conv2d_1,48,100,10,False
149,classes_conv2d_1,49,100,13,False
150,classes_conv2d_1,50,100,9,False
151,classes_conv2d_1,51,100,11,False
152,classes_conv2d_1,52,100,5,False
153,classes_conv2d_1,53,100,10,False
154,classes_conv2d_1,54,100,13,False
155,classes_conv2d_1,55,100,14,False
156,classes_conv2d_1,56,100,17,False
157,classes_conv2d_1,57,100,6,False
158,classes_conv2d_1,58,100,11,False
159,classes_conv2d_1,59,100,14,False
160,classes_conv2d_1,60,100,10,False
161,classes_conv2d_1,61,100,8,False
162,classes_conv2d_1,62,100,11,False
163,classes_conv2d_1,63,100,11,False
164,classes_conv2d_1,64,100,13,False
165,classes_conv2d_1,65,100,14,False
166,classes_conv2d_1,66,100,13,False
167,classes_conv2d_1,67,100,10,False
168,classes_conv2d_1,68,100,11,False
169,classes_conv2d_1,69,100,30,False
170,classes_conv2d_1,70,100,17,False
171,classes_conv2d_1,71,100,10,False
172,classes_conv2d_1,72,100,10,False
173,classes_conv2d_1,73,100,14,False
174,classes_conv2d_1,74,100,11,False
175,classes_conv2d_1,75,100,15,False
176,classes_conv2d_1,76,100,11,False
177,classes_conv2d_1,77,100,17,False
178,classes_conv2d_1,78,100,11,False
179,classes_conv2d_1,79,100,11,False
180,classes_conv2d_1,80,100,11,False
181,classes_conv2d_1,81,100,22,False
182,classes_conv2d_1,82,100,13,False
183,classes_conv2d_1,83,100,14,False
184,classes_conv2d_1,84,100,16,False
185,classes_conv2d_1,85,100,10,False
186,classes_conv2d_1,86,100,11,False
187,classes_conv2d_1,87,100,7,False
188,classes_conv2d_1,88,100,15,False
189,classes_conv2d_1,89,100,10,False
190,classes_conv2d_1,90,100,12,False
191,classes_conv2d_1,91,100,12,False
192,classes_conv2d_1,92,100,11,False
193,classes_conv2d_1,93,100,13,False
194,classes_conv2d_1,94,100,22,False
195,classes_conv2d_1,95,100,8,False
196,classes_conv2d_1,96,100,12,False
197,classes_conv2d_1,97,100,6,False
198,classes_conv2d_1,98,100,16,False
199,classes_conv2d_1,99,100,9,False
200,classes_conv2d_2,0,100,9,False
201,classes_conv2d_2,1,100,13,False
202,classes_conv2d_2,2,100,18,False
203,classes_conv2d_2,3,100,11,False
204,classes_conv2d_2,4,100,17,False
205,classes_conv2d_2,5,100,16,False
206,classes_conv2d_2,6,100,11,False
207,classes_conv2d_2,7,100,14,False
208,classes_conv2d_2,8,100,8,False
209,classes_conv2d_2,9,100,13,False
210,classes_conv2d_2,10,100,11,False
211,classes_conv2d_2,11,100,7,False
212,classes_conv2d_2,12,100,7,False
213,classes_conv2d_2,13,100,10,False
214,classes_conv2d_2,14,100,15,False
215,classes_conv2d_2,15,100,100,False
216,classes_conv2d_2,16,100,7,False
217,classes_conv2d_2,17,100,16,False
218,classes_conv2d_2,18,100,17,False
219,classes_conv2d_2,19,100,18,False
220,classes_conv2d_2,20,100,13,False
221,classes_conv2d_2,21,100,17,False
222,classes_conv2d_2,22,100,21,False
223,classes_conv2d_2,23,100,11,False
224,classes_conv2d_2,24,100,11,False
225,classes_conv2d_2,25,100,6,False
226,classes_conv2d_2,26,100,12,False
227,classes_conv2d_2,27,100,18,False
228,classes_conv2d_2,28,100,13,False
229,classes_conv2d_2,29,100,7,False
230,classes_conv2d_2,30,100,11,False
231,classes_conv2d_2,31,100,10,False
232,classes_conv2d_2,32,100,15,False
233,classes_conv2d_2,33,100,17,False
234,classes_conv2d_2,34,100,12,False
235,classes_conv2d_2,35,100,11,False
236,classes_conv2d_2,36,100,11,False
237,classes_conv2d_2,37,100,11,False
238,classes_conv2d_2,38,100,6,False
239,classes_conv2d_2,39,100,19,False
240,classes_conv2d_2,40,100,10,False
241,classes_conv2d_2,41,100,13,False
242,classes_conv2d_2,42,100,15,False
243,classes_conv2d_2,43,100,17,False
244,classes_conv2d_2,44,100,18,False
245,classes_conv2d_2,45,100,10,False
246,classes_conv2d_2,46,100,14,False
247,classes_conv2d_2,47,100,15,False
248,classes_conv2d_2,48,100,14,False
249,classes_conv2d_2,49,100,16,False
250,classes_conv2d_2,50,100,15,False
251,classes_conv2d_2,51,100,12,False
252,classes_conv2d_2,52,100,5,False
253,classes_conv2d_2,53,100,13,False
254,classes_conv2d_2,54,100,10,False
255,classes_conv2d_2,55,100,17,False
256,classes_conv2d_2,56,100,13,False
257,classes_conv2d_2,57,100,13,False
258,classes_conv2d_2,58,100,15,False
259,classes_conv2d_2,59,100,14,False
260,classes_conv2d_2,60,100,10,False
261,classes_conv2d_2,61,100,17,False
262,classes_conv2d_2,62,100,10,False
263,classes_conv2d_2,63,100,10,False
264,classes_conv2d_2,64,100,8,False
265,classes_conv2d_2,65,100,14,False
266,classes_conv2d_2,66,100,20,False
267,classes_conv2d_2,67,100,10,False
268,classes_conv2d_2,68,100,18,False
269,classes_conv2d_2,69,100,15,False
270,classes_conv2d_2,70,100,11,False
271,classes_conv2d_2,71,100,10,False
272,classes_conv2d_2,72,100,6,False
273,classes_conv2d_2,73,100,19,False
274,classes_conv2d_2,74,100,14,False
275,classes_conv2d_2,75,100,13,False
276,classes_conv2d_2,76,100,13,False
277,classes_conv2d_2,77,100,14,False
278,classes_conv2d_2,78,100,20,False
279,classes_conv2d_2,79,100,17,False
280,classes_conv2d_2,80,100,14,False
281,classes_conv2d_2,81,100,19,False
282,classes_conv2d_2,82,100,11,False
283,classes_conv2d_2,83,100,14,False
284,classes_conv2d_2,84,100,8,False
285,classes_conv2d_2,85,100,10,False
286,classes_conv2d_2,86,100,16,False
287,classes_conv2d_2,87,100,11,False
288,classes_conv2d_2,88,100,10,False
289,classes_conv2d_2,89,100,12,False
290,classes_conv2d_2,90,100,13,False
291,classes_conv2d_2,91,100,11,False
292,classes_conv2d_2,92,100,14,False
293,classes_conv2d_2,93,100,14,False
294,classes_conv2d_2,94,100,18,False
295,classes_conv2d_2,95,100,12,False
296,classes_conv2d_2,96,100,12,False
297,classes_conv2d_2,97,100,18,False
298,classes_conv2d_2,98,100,15,False
299,classes_conv2d_2,99,100,13,False
